folder	key	title	score	year	developer	source
megadrive	rambo iii	Rambo III	78	1989	SEGA Enterprises Ltd.	https://www.mobygames.com/game/platform:genesis/sort:critic_score/page:4/
megadrive	mercs	Mercs	78	1991	Capcom Co., Ltd.	https://www.mobygames.com/game/platform:genesis/sort:critic_score/page:4/
megadrive	team usa basketball	Team USA Basketball	78	1992	Electronic Arts, Inc.	https://www.mobygames.com/game/platform:genesis/sort:critic_score/page:4/
megadrive	herzog zwei	Herzog Zwei	78	1989	Technosoft Co., Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	leander	Leander	78	1992	Traveller's Tales (UK) Ltd.	https://www.mobygames.com/game/platform:genesis/sort:critic_score/page:4/
megadrive	x men 2 clone wars	X-Men 2: Clone Wars	78	1995	HeadGames, Inc.	https://www.mobygames.com/game/platform:genesis/sort:critic_score/page:4/
megadrive	f1 circus 91	F1 Circus '91	78	1991	Nihon Bussan Co., Ltd.	https://www.mobygames.com/game/platform:genesis/sort:critic_score/page:4/
megadrive	gods	Gods	78	1992	The Bitmap Brothers	https://www.mobygames.com/game/platform:genesis/sort:critic_score/page:4/
megadrive	nfl quarterback club	NFL Quarterback Club	78	1994	Iguana Entertainment Incorporated	https://www.mobygames.com/game/platform:genesis/sort:critic_score/page:4/
megadrive	sparkster	Sparkster	78	1994	Konami Co., Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	theme park	Theme Park	78	1995	Bullfrog Productions, Ltd.	https://www.mobygames.com/game/platform:genesis/sort:critic_score/page:4/
megadrive	psycho pinball	Psycho Pinball	78	1995	The Codemasters Software Company Limited	https://www.mobygames.com/game/platform:genesis/sort:critic_score/page:4/
megadrive	super skidmarks	Super Skidmarks	78	1995	Acid Software	https://www.mobygames.com/game/platform:genesis/sort:critic_score/page:4/
megadrive	sub terrania	Sub-Terrania	78	1994	Zyrinx	https://www.mobygames.com/game/platform:genesis/sort:critic_score/page:4/
megadrive	maui mallard in cold shadow	Maui Mallard in Cold Shadow	78	1995	Disney Interactive, Inc.	https://www.mobygames.com/game/title:e/platform:genesis/sort:-critic_score/page:2/
megadrive	streets of rage 3	Streets of Rage 3	78	1994	Sega AM7 R&D Division	https://www.mobygames.com/game/platform:genesis/sort:critic_score/page:4/
megadrive	chelnov atomic runner	Chelnov: Atomic Runner	78	1992	Data East Corporation	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	wwf raw	WWF Raw	78	1995	Realtime Associates Seattle Division	https://www.mobygames.com/game/platform:genesis/sort:critic_score/page:4/
megadrive	golden axe ii	Golden Axe II	78	1991	SEGA Enterprises Ltd.	https://www.mobygames.com/game/title:a/platform:genesis/sort:-critic_score/page:3/
megadrive	sports talk baseball	Sports Talk Baseball	78	1992	SEGA Enterprises Ltd.	https://www.mobygames.com/game/platform:genesis/sort:critic_score/page:4/
megadrive	forgotten worlds	Forgotten Worlds	78	1989	Capcom Co., Ltd.	https://www.mobygames.com/game/platform:genesis/sort:critic_score/page:4/
megadrive	vectorman 2	Vectorman 2	78	1996	BlueSky Software, Inc.	https://www.mobygames.com/game/platform:genesis/sort:critic_score/page:4/
megadrive	mega lo mania	Mega lo Mania	78	1992	Sensible Software	https://www.mobygames.com/game/platform:genesis/sort:critic_score/page:4/
megadrive	samurai shodown	Samurai Shodown	78	1994	SNK Corporation	https://www.mobygames.com/game/platform:genesis/sort:critic_score/page:4/
