folder	key	title	critic	user	release	developer	publisher	critic_sources	user_sources
gamegear	factory panic	Factory Panic	6.9	6.4	1991-06-21	Japan System House	Sega Enterprises	MobyGames (n=5)=6.9	GameFAQs community=6.2; LaunchBox community Bayesian (raw 6.4, n=31)=6.5
gamegear	fantastic dizzy	Fantastic Dizzy		6.2	1993-09-21	Codemasters Software	Codemasters Software		GameFAQs community=5.9; LaunchBox community Bayesian (raw 6.4, n=29)=6.6; LaunchBox Community=6.2
gamegear	fantasy zone gear	Fantasy Zone Gear
gamegear	fatal fury special	Fatal Fury Special	8.0	7.5	1994-11-25	Takara	Takara	MobyGames (n=5)=8.0	GameFAQs community=7.6; LaunchBox community Bayesian (raw 7.5, n=56)=7.4
gamegear	fifa international soccer	FIFA International Soccer	7.8	5.7	1994-01-01	Tiertex	Electronic Arts	MobyGames (n=5)=7.8	GameFAQs community=6.0; LaunchBox community Bayesian (raw 4.8, n=20)=5.5; LaunchBox Community=5.7
gamegear	fifa soccer 96	FIFA Soccer '96		5.1	1995-01-01	Probe Entertainment	Electronic Arts		GameFAQs community=5.4; LaunchBox community Bayesian (raw 3.7, n=23)=4.7; LaunchBox Community=5.1
gamegear	foreman for real	Foreman for Real		5.3	1995-01-01	Software Creations	Acclaim Entertainment		GameFAQs community=4.9; LaunchBox community Bayesian (raw 5.0, n=21)=5.6; LaunchBox Community=5.3
gamegear	formula 1	Formula 1
gamegear	frank thomas big hurt baseball	Frank Thomas Big Hurt Baseball		5.0	1995-10-01	Realtime Associates	Acclaim Entertainment		GameFAQs community=4.1; LaunchBox community Bayesian (raw 5.5, n=23)=6.0; LaunchBox Community=5.0
gamegear	fred couples golf	Fred Couples Golf		6.7	1994-01-01	SIMS	Sega of America		GameFAQs community=6.5; LaunchBox community Bayesian (raw 6.8, n=24)=6.9; LaunchBox Community=6.7
gamegear	frogger	Frogger		7.1		Sega	Sega		LaunchBox community Bayesian (raw 7.2, n=27)=7.1; LaunchBox Community=7.1
gamegear	g loc air battle	G-Loc Air Battle	5.5	5.8	1990-12-15	Sega Enterprises	Sega of America	MobyGames (n=5)=5.5	GameFAQs community=5.8; LaunchBox community Bayesian (raw 5.6, n=39)=5.9; LaunchBox Community=5.8
gamegear	gamegear shinobi	GameGear Shinobi
gamegear	gear works	Gear Works	6.6	6.2	1994-01-01	Teque London	Sony Imagesoft	MobyGames (n=5)=6.6	GameFAQs community=5.4; LaunchBox community Bayesian (raw 7.0, n=30)=7.0; LaunchBox Community=6.2
gamegear	george foreman s ko boxing	George Foreman's KO Boxing	5.8	4.5	1991-12-27	SIMS	Flying Edge	MobyGames (n=5)=5.8	GameFAQs community=3.6; LaunchBox community Bayesian (raw 4.8, n=34)=5.3; LaunchBox Community=4.5
gamegear	gp rider	GP Rider	7.9	6.6	1994-04-22	Sega AM2	Sega of America	MobyGames (n=5)=7.9	GameFAQs community=6.6; LaunchBox community Bayesian (raw 6.5, n=33)=6.6
gamegear	greendog	Greendog
gamegear	home alone	Home Alone	4.6	4.1	1992-01-01	Al Baker & Associates	Sega of America	MobyGames (n=5)=4.6	GameFAQs community=2.3; LaunchBox community Bayesian (raw 5.4, n=31)=5.8; LaunchBox Community=4.1
gamegear	hook	Hook	6.0	6.5	1992-01-01	Spidersoft	Sony Imagesoft	MobyGames (n=5)=6.0	GameFAQs community=5.9; LaunchBox community Bayesian (raw 7.0, n=35)=7.0; LaunchBox Community=6.5
gamegear	hurricanes	Hurricanes	5.0	5.2	1994-01-01	Arc Developments	U.S. Gold	MobyGames (n=5)=5.0	GameFAQs community=3.8; LaunchBox community Bayesian (raw 6.5, n=26)=6.6; LaunchBox Community=5.2
gamegear	incredible crash dummies	Incredible Crash Dummies	5.5	5.7	1993-05-01	Teeny Weeny Games	Flying Edge	MobyGames (n=5)=5.5	GameFAQs community=4.7; LaunchBox community Bayesian (raw 6.7, n=27)=6.8; Legacy community=5.7
gamegear	incredible hulk	Incredible Hulk	7.2	5.9	1994-01-01	Probe Software	U.S. Gold	MobyGames (n=5)=7.2	GameFAQs community=5.6; LaunchBox community Bayesian (raw 6.1, n=34)=6.3; Legacy community=5.9
gamegear	indiana jones and the last crusade	Indiana Jones and the Last Crusade		6.0	1992-01-01	Tiertex	U.S. Gold		GameFAQs community=5.2; LaunchBox community Bayesian (raw 6.8, n=42)=6.8; LaunchBox Community=6.0
gamegear	iron man x o manowar in heavy metal	Iron Man: X-O Manowar in Heavy Metal		6.2	1996-11-14	Realtime Associates	Acclaim Entertainment		GameFAQs community=5.7; LaunchBox community Bayesian (raw 6.5, n=35)=6.6; LaunchBox Community=6.2
gamegear	itchy and scratchy game	Itchy and Scratchy Game		4.0					GameFAQs community=4.0
gamegear	jeopardy	Jeopardy!		6.4	1993-08-01	GameTek	GameTek		GameFAQs community=6.1; LaunchBox community Bayesian (raw 6.5, n=26)=6.6; LaunchBox Community=6.4
gamegear	jeopardy sports edition	Jeopardy!: Sports Edition		5.5	1994-01-01	GameTek	GameTek		GameFAQs community=5.1; LaunchBox community Bayesian (raw 5.2, n=23)=5.7; LaunchBox Community=5.5
gamegear	joe montana s football	Joe Montana's Football
gamegear	judge dredd	Judge Dredd	7.2	6.3	1995-06-16	Interactive Studios	Acclaim Entertainment	MobyGames (n=5)=7.2	GameFAQs community=5.1; LaunchBox community Bayesian (raw 7.7, n=33)=7.5; LaunchBox Community=6.3
gamegear	junction	Junction	5.4	6.3	1991-02-24	Micronet	Micronet	MobyGames (n=5)=5.4	GameFAQs community=5.7; LaunchBox community Bayesian (raw 6.9, n=27)=6.9; LaunchBox Community=6.3
gamegear	jungle book	Jungle Book	7.3	7.6	1994-01-01	Syrox Developments	Virgin Interactive Entertainment	MobyGames (n=5)=7.3	LaunchBox community Bayesian (raw 7.8, n=33)=7.6; LaunchBox Community=7.6
gamegear	jurassic park	Jurassic Park	7.5	7.4	1993-07-30	Sega Enterprises	Sega Enterprises	MobyGames (n=5)=7.5	GameFAQs community=7.6; LaunchBox community Bayesian (raw 7.3, n=61)=7.3; LaunchBox Community=7.4
gamegear	kawasaki superbike challenge	Kawasaki Superbike Challenge	6.5	6.3	1995-01-01	Teque London	Domark	MobyGames (n=5)=6.5	GameFAQs community=5.1; LaunchBox community Bayesian (raw 7.5, n=30)=7.4; LaunchBox Community=6.3
gamegear	klax	Klax	7.4	6.0	1992-01-01	Atari Games	Tengen	MobyGames (n=5)=7.4	GameFAQs community=5.1; LaunchBox community Bayesian (raw 7.0, n=32)=7.0; LaunchBox Community=6.0
gamegear	krusty s funhouse	Krusty's Funhouse		7.2	1993-01-01	Audiogenic Software	Flying Edge		LaunchBox community Bayesian (raw 7.3, n=34)=7.2; LaunchBox Community=7.2
gamegear	last action hero	Last Action Hero		4.0	1993-11-01	Bits Studios	Sony Imagesoft		GameFAQs community=2.0; LaunchBox community Bayesian (raw 5.7, n=37)=6.0; LaunchBox Community=4.0
gamegear	lemmings	Lemmings	7.9	6.9	1992-11-01	Probe Software	Sega Enterprises	MobyGames (n=5)=7.9	GameFAQs community=6.8; LaunchBox community Bayesian (raw 7.0, n=40)=7.0; LaunchBox Community=6.9
gamegear	lion king	Lion King	7.4	7.0	1994-11-01	Syrox Developments	Sega of America	MobyGames (n=5)=7.4	GameFAQs community=6.6; LaunchBox community Bayesian (raw 7.6, n=53)=7.5; Legacy community=7.0
gamegear	lucky dime caper starring donald duck	Lucky Dime Caper starring Donald Duck	7.9	7.7	1991-10-01	Sega Enterprises	Sega of America	MobyGames (n=5)=7.9	GameFAQs community=7.3; LaunchBox community Bayesian (raw 8.4, n=65)=8.2; Legacy community=7.7
gamegear	lunar sanposuru gakuen	Lunar: Sanposuru Gakuen		7.5	1996-01-12	Studio Alex	Game Arts		GameFAQs community=7.9; LaunchBox community Bayesian (raw 7.2, n=23)=7.1; LaunchBox Community=7.5
gamegear	madden nfl 95	Madden NFL '95		6.0	1994-12-01	Tiertex	Electronic Arts		GameFAQs community=5.9; LaunchBox community Bayesian (raw 5.8, n=33)=6.1; LaunchBox Community=6.0
gamegear	madden nfl 96	Madden NFL '96
gamegear	majors pro baseball	Majors Pro Baseball		6.2					GameFAQs community=6.2
gamegear	man overboard	Man Overboard!		5.8	1994-10-01	Big Red Software	Codemasters		GameFAQs community=4.2; LaunchBox community Bayesian (raw 7.5, n=21)=7.3; LaunchBox Community=5.8
gamegear	marble madness	Marble Madness	6.7	6.2	1992-09-24	Tengen	Tengen	MobyGames (n=5)=6.7	GameFAQs community=5.2; LaunchBox community Bayesian (raw 7.2, n=37)=7.2; LaunchBox Community=6.2
gamegear	marko s magic football	Marko's Magic Football	5.9	7.4	1994-01-01	The Kremlin	Domark	MobyGames (n=5)=5.9	LaunchBox community Bayesian (raw 7.6, n=29)=7.4; LaunchBox Community=7.4
gamegear	mega man	Mega Man	7.9	7.5	1995-10-01	Freestyle	U.S. Gold	MobyGames (n=5)=7.9	GameFAQs community=7.4; LaunchBox community Bayesian (raw 7.7, n=76)=7.6; LaunchBox Community=7.5
gamegear	mick and mack as the global gladiators	Mick and Mack as the Global Gladiators	6.7		1993	Virgin Games, Inc.		MobyGames (n=5)=6.7
gamegear	mickey mouse castle of illusion	Mickey Mouse: Castle of Illusion
gamegear	mickey mouse land of illusion	Mickey Mouse: Land of Illusion
gamegear	mickey mouse legend of illusion	Mickey Mouse: Legend of Illusion
gamegear	mickey s ultimate challenge	Mickey's Ultimate Challenge		6.4	1994-01-01	Designer Software	Hi-Tech Expressions		GameFAQs community=6.2; LaunchBox community Bayesian (raw 6.5, n=33)=6.6; LaunchBox Community=6.4
gamegear	micro machines	Micro Machines	8.1	7.2	1993-11-01	Codemasters	Codemasters	MobyGames (n=5)=8.1	GameFAQs community=7.0; LaunchBox community Bayesian (raw 7.5, n=34)=7.4; LaunchBox Community=7.2
gamegear	micro machines 2 turbo tournament	Micro Machines 2: Turbo Tournament	8.6	7.8	1995-05-01	Codemasters	Codemasters	MobyGames (n=5)=8.6	GameFAQs community=7.7; LaunchBox community Bayesian (raw 8.2, n=30)=7.9; LaunchBox Community=7.8
gamegear	mlbpa baseball	MLBPA Baseball		5.9	1995-01-01	Beam Software	Electronic Arts		GameFAQs community=5.5; LaunchBox community Bayesian (raw 5.8, n=23)=6.2; LaunchBox Community=5.9
gamegear	moldorian	Moldorian		7.3					GameFAQs community=7.3
gamegear	monster truck wars	Monster Truck Wars	4.9	5.9	1994-01-01	Gremlin Interactive	Acclaim Entertainment	MobyGames (n=5)=4.9	GameFAQs community=5.5; LaunchBox community Bayesian (raw 5.8, n=26)=6.1; LaunchBox Community=5.9
gamegear	mortal kombat	Mortal Kombat	7.2	6.3	1993-09-13	Probe Software	Arena Entertainment	MobyGames (n=5)=7.2	GameFAQs community=5.6; LaunchBox community Bayesian (raw 6.9, n=75)=6.9; LaunchBox Community=6.3
gamegear	mortal kombat 2	Mortal Kombat 2	7.4		1994	Midway Manufacturing Company		MobyGames (n=5)=7.4
gamegear	mortal kombat 3	Mortal Kombat 3		4.9	1996-01-01	Software Creations	Acclaim Entertainment		GameFAQs community=3.3; LaunchBox community Bayesian (raw 6.3, n=45)=6.4; LaunchBox Community=4.9
gamegear	ms pac man	Ms. Pac-Man		7.0	1993-01-01	Namco	Namco		GameFAQs community=7.0; LaunchBox community Bayesian (raw 7.1, n=43)=7.1; LaunchBox Community=7.0
gamegear	nba action	NBA Action
gamegear	nba jam tournament edition	NBA Jam Tournament Edition	7.4	7.0	1995-02-23	Iguana Entertainment	Acclaim Entertainment	MobyGames (n=5)=7.4	GameFAQs community=7.0; LaunchBox community Bayesian (raw 7.1, n=30)=7.1; LaunchBox Community=7.0
gamegear	nfl 95	NFL '95		5.5	1994-11-15	BlueSky Software	Sega of America		GameFAQs community=5.3; LaunchBox community Bayesian (raw 5.2, n=22)=5.8; LaunchBox Community=5.5
gamegear	nfl quarterback club	NFL Quarterback Club	6.2	4.6	1995-01-01	Condor	Acclaim Entertainment	MobyGames (n=5)=6.2	GameFAQs community=3.8; LaunchBox community Bayesian (raw 4.5, n=18)=5.4; LaunchBox Community=4.6
